Metro,Population,Transit,Walk,Bike,No Car,Index,Rank
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3526149,4.7,2.2,0.9,2.8,0.755235602094241,58
"Sebring, FL Metro Area",100177,2.7,1.7,0.9,4.1,0.753272251308901,59
"Elmira, NY Metro Area",86883,2,3.2,0.3,4.9,0.7467277486911,60
"Savannah, GA Metro Area",377476,2,2.2,0.9,3.2,0.746073298429319,61
"Reno, NV Metro Area",449442,1.9,2.8,0.6,3.1,0.745418848167539,62
"Lawrence, KS Metro Area",117806,2.1,5.3,0.8,2.2,0.744764397905759,63
"Pittsfield, MA Metro Area",127751,1.4,6,0.3,3.4,0.743455497382199,64
"Providence-Warwick, RI-MA Metro Area",1613154,2.7,3.3,0.3,3.4,0.742146596858639,65
"Athens-Clarke County, GA Metro Area",202780,2.8,2.6,0.8,2.7,0.742146596858639,65
"Columbia, MO Metro Area",174589,1.1,3.9,0.9,2.7,0.738874345549738,67
"Naples-Immokalee-Marco Island, FL Metro Area",356774,2.4,1.5,1.3,5,0.737565445026178,68
